arch,strategy,fold,seed,epochs_run,n_train,n_test,seconds,model_kept
mobilenet_v2,frozen,0,1,13,1046,290,59.7,True
mobilenet_v2,frozen,0,2,14,1046,290,61.3,False
mobilenet_v2,frozen,0,3,15,1046,290,59.6,False
mobilenet_v2,frozen,1,1,17,1000,313,67.6,False
mobilenet_v2,frozen,1,2,16,1000,313,61.2,False
mobilenet_v2,frozen,1,3,20,1000,313,77.4,False
mobilenet_v2,frozen,2,1,16,1005,335,69.1,False
mobilenet_v2,frozen,2,2,24,1005,335,80.6,False
mobilenet_v2,frozen,2,3,19,1005,335,74.1,False
mobilenet_v2,frozen,3,1,15,1041,297,61.8,False
mobilenet_v2,frozen,3,2,20,1041,297,78.3,False
mobilenet_v2,frozen,3,3,15,1041,297,59.8,False
mobilenet_v2,frozen,4,1,12,1038,295,53.2,False
mobilenet_v2,frozen,4,2,12,1038,295,49.1,False
mobilenet_v2,frozen,4,3,14,1038,295,54.3,False
mobilenet_v2,finetuned,0,1,50,1046,290,209.3,True
mobilenet_v2,finetuned,0,2,50,1046,290,201.1,False
mobilenet_v2,finetuned,0,3,50,1046,290,203.6,False
mobilenet_v2,finetuned,1,1,50,1000,313,202.0,False
mobilenet_v2,finetuned,1,2,50,1000,313,202.3,False
mobilenet_v2,finetuned,1,3,50,1000,313,199.9,False
mobilenet_v2,finetuned,2,1,50,1005,335,200.1,False
mobilenet_v2,finetuned,2,2,50,1005,335,199.5,False
mobilenet_v2,finetuned,2,3,50,1005,335,203.3,False
mobilenet_v2,finetuned,3,1,50,1041,297,200.9,False
mobilenet_v2,finetuned,3,2,50,1041,297,206.1,False
mobilenet_v2,finetuned,3,3,50,1041,297,203.8,False
mobilenet_v2,finetuned,4,1,50,1038,295,197.0,False
mobilenet_v2,finetuned,4,2,45,1038,295,184.4,False
mobilenet_v2,finetuned,4,3,49,1038,295,201.3,False
mobilenet_v3_small,frozen,0,1,19,1046,290,72.2,True
mobilenet_v3_small,frozen,0,2,17,1046,290,63.8,False
mobilenet_v3_small,frozen,0,3,15,1046,290,57.0,False
mobilenet_v3_small,frozen,1,1,27,1000,313,94.7,False
mobilenet_v3_small,frozen,1,2,23,1000,313,80.3,False
mobilenet_v3_small,frozen,1,3,27,1000,313,95.1,False
mobilenet_v3_small,frozen,2,1,23,1005,335,83.7,False
mobilenet_v3_small,frozen,2,2,24,1005,335,83.8,False
mobilenet_v3_small,frozen,2,3,22,1005,335,76.8,False
mobilenet_v3_small,frozen,3,1,21,1041,297,73.5,False
mobilenet_v3_small,frozen,3,2,22,1041,297,75.7,False
mobilenet_v3_small,frozen,3,3,20,1041,297,72.5,False
mobilenet_v3_small,frozen,4,1,16,1038,295,61.8,False
mobilenet_v3_small,frozen,4,2,24,1038,295,93.6,False
mobilenet_v3_small,frozen,4,3,24,1038,295,84.2,False
mobilenet_v3_small,finetuned,0,1,50,1046,290,193.3,True
mobilenet_v3_small,finetuned,0,2,50,1046,290,199.0,False
mobilenet_v3_small,finetuned,0,3,50,1046,290,188.6,False
mobilenet_v3_small,finetuned,1,1,50,1000,313,179.8,False
mobilenet_v3_small,finetuned,1,2,50,1000,313,188.4,False
mobilenet_v3_small,finetuned,1,3,50,1000,313,176.7,False
mobilenet_v3_small,finetuned,2,1,50,1005,335,172.0,False
mobilenet_v3_small,finetuned,2,2,50,1005,335,178.1,False
mobilenet_v3_small,finetuned,2,3,50,1005,335,175.4,False
mobilenet_v3_small,finetuned,3,1,50,1041,297,184.7,False
mobilenet_v3_small,finetuned,3,2,50,1041,297,190.5,False
mobilenet_v3_small,finetuned,3,3,50,1041,297,192.4,False
mobilenet_v3_small,finetuned,4,1,50,1038,295,183.4,False
mobilenet_v3_small,finetuned,4,2,50,1038,295,184.6,False
mobilenet_v3_small,finetuned,4,3,50,1038,295,179.1,False
resnet_50,frozen,0,1,12,1046,290,102.3,True
