arch,strategy,seed,bin,bin_range,count_before,count_after,pct_before,pct_after
mobilenet_v2,frozen,1,0,"(0.0,0.1]",0,0,0.0,0.0
mobilenet_v2,frozen,1,1,"(0.1,0.2]",0,0,0.0,0.0
mobilenet_v2,frozen,1,2,"(0.2,0.3]",7,9,0.45751633986928103,0.5882352941176471
mobilenet_v2,frozen,1,3,"(0.3,0.4]",50,53,3.2679738562091503,3.4640522875816995
mobilenet_v2,frozen,1,4,"(0.4,0.5]",105,111,6.862745098039215,7.254901960784314
mobilenet_v2,frozen,1,5,"(0.5,0.6]",124,127,8.104575163398692,8.300653594771243
mobilenet_v2,frozen,1,6,"(0.6,0.7]",123,133,8.03921568627451,8.69281045751634
mobilenet_v2,frozen,1,7,"(0.7,0.8]",125,119,8.169934640522875,7.777777777777778
mobilenet_v2,frozen,1,8,"(0.8,0.9]",162,180,10.588235294117647,11.764705882352942
mobilenet_v2,frozen,1,9,"(0.9,1.0]",834,798,54.509803921568626,52.15686274509804
mobilenet_v2,frozen,2,0,"(0.0,0.1]",0,0,0.0,0.0
mobilenet_v2,frozen,2,1,"(0.1,0.2]",0,0,0.0,0.0
mobilenet_v2,frozen,2,2,"(0.2,0.3]",7,7,0.45751633986928103,0.45751633986928103
mobilenet_v2,frozen,2,3,"(0.3,0.4]",39,68,2.549019607843137,4.444444444444445
mobilenet_v2,frozen,2,4,"(0.4,0.5]",105,112,6.862745098039215,7.3202614379084965
mobilenet_v2,frozen,2,5,"(0.5,0.6]",104,116,6.7973856209150325,7.5816993464052285
mobilenet_v2,frozen,2,6,"(0.6,0.7]",94,115,6.143790849673203,7.516339869281046
mobilenet_v2,frozen,2,7,"(0.7,0.8]",124,137,8.104575163398692,8.954248366013072
mobilenet_v2,frozen,2,8,"(0.8,0.9]",157,162,10.261437908496733,10.588235294117647
mobilenet_v2,frozen,2,9,"(0.9,1.0]",900,813,58.8235294117647,53.13725490196079
mobilenet_v2,frozen,3,0,"(0.0,0.1]",0,0,0.0,0.0
mobilenet_v2,frozen,3,1,"(0.1,0.2]",0,0,0.0,0.0
mobilenet_v2,frozen,3,2,"(0.2,0.3]",11,12,0.7189542483660131,0.7843137254901961
mobilenet_v2,frozen,3,3,"(0.3,0.4]",32,52,2.0915032679738563,3.3986928104575163
mobilenet_v2,frozen,3,4,"(0.4,0.5]",95,120,6.209150326797386,7.8431372549019605
mobilenet_v2,frozen,3,5,"(0.5,0.6]",109,121,7.124183006535947,7.908496732026144
mobilenet_v2,frozen,3,6,"(0.6,0.7]",120,128,7.8431372549019605,8.366013071895425
mobilenet_v2,frozen,3,7,"(0.7,0.8]",125,148,8.169934640522875,9.673202614379084
mobilenet_v2,frozen,3,8,"(0.8,0.9]",167,189,10.915032679738562,12.352941176470589
mobilenet_v2,frozen,3,9,"(0.9,1.0]",871,760,56.928104575163395,49.673202614379086
mobilenet_v2,finetuned,1,0,"(0.0,0.1]",0,0,0.0,0.0
mobilenet_v2,finetuned,1,1,"(0.1,0.2]",0,0,0.0,0.0
mobilenet_v2,finetuned,1,2,"(0.2,0.3]",11,14,0.7189542483660131,0.9150326797385621
mobilenet_v2,finetuned,1,3,"(0.3,0.4]",68,79,4.444444444444445,5.163398692810458
mobilenet_v2,finetuned,1,4,"(0.4,0.5]",116,114,7.5816993464052285,7.450980392156863
mobilenet_v2,finetuned,1,5,"(0.5,0.6]",91,96,5.947712418300654,6.2745098039215685
mobilenet_v2,finetuned,1,6,"(0.6,0.7]",94,108,6.143790849673203,7.0588235294117645
mobilenet_v2,finetuned,1,7,"(0.7,0.8]",119,121,7.777777777777778,7.908496732026144
mobilenet_v2,finetuned,1,8,"(0.8,0.9]",143,152,9.34640522875817,9.934640522875817
mobilenet_v2,finetuned,1,9,"(0.9,1.0]",888,846,58.03921568627451,55.294117647058826
mobilenet_v2,finetuned,2,0,"(0.0,0.1]",0,0,0.0,0.0
mobilenet_v2,finetuned,2,1,"(0.1,0.2]",0,0,0.0,0.0
mobilenet_v2,finetuned,2,2,"(0.2,0.3]",11,14,0.7189542483660131,0.9150326797385621
mobilenet_v2,finetuned,2,3,"(0.3,0.4]",76,93,4.967320261437909,6.078431372549019
mobilenet_v2,finetuned,2,4,"(0.4,0.5]",92,94,6.0130718954248366,6.143790849673203
mobilenet_v2,finetuned,2,5,"(0.5,0.6]",103,112,6.73202614379085,7.3202614379084965
mobilenet_v2,finetuned,2,6,"(0.6,0.7]",104,115,6.7973856209150325,7.516339869281046
mobilenet_v2,finetuned,2,7,"(0.7,0.8]",111,107,7.254901960784314,6.993464052287582
mobilenet_v2,finetuned,2,8,"(0.8,0.9]",141,164,9.215686274509803,10.718954248366012
mobilenet_v2,finetuned,2,9,"(0.9,1.0]",892,831,58.30065359477124,54.31372549019608
mobilenet_v2,finetuned,3,0,"(0.0,0.1]",0,0,0.0,0.0
mobilenet_v2,finetuned,3,1,"(0.1,0.2]",0,0,0.0,0.0
mobilenet_v2,finetuned,3,2,"(0.2,0.3]",9,15,0.5882352941176471,0.9803921568627451
mobilenet_v2,finetuned,3,3,"(0.3,0.4]",68,85,4.444444444444445,5.555555555555555
mobilenet_v2,finetuned,3,4,"(0.4,0.5]",98,99,6.405228758169935,6.470588235294118
mobilenet_v2,finetuned,3,5,"(0.5,0.6]",102,118,6.666666666666667,7.712418300653595
mobilenet_v2,finetuned,3,6,"(0.6,0.7]",114,108,7.450980392156863,7.0588235294117645
mobilenet_v2,finetuned,3,7,"(0.7,0.8]",101,127,6.601307189542483,8.300653594771243
mobilenet_v2,finetuned,3,8,"(0.8,0.9]",165,169,10.784313725490197,11.045751633986928
mobilenet_v2,finetuned,3,9,"(0.9,1.0]",873,809,57.05882352941177,52.87581699346405
mobilenet_v3_small,frozen,1,0,"(0.0,0.1]",0,0,0.0,0.0
mobilenet_v3_small,frozen,1,1,"(0.1,0.2]",0,0,0.0,0.0
mobilenet_v3_small,frozen,1,2,"(0.2,0.3]",1,4,0.06535947712418301,0.26143790849673204
mobilenet_v3_small,frozen,1,3,"(0.3,0.4]",31,55,2.026143790849673,3.5947712418300655
mobilenet_v3_small,frozen,1,4,"(0.4,0.5]",82,96,5.359477124183006,6.2745098039215685
mobilenet_v3_small,frozen,1,5,"(0.5,0.6]",102,118,6.666666666666667,7.712418300653595
mobilenet_v3_small,frozen,1,6,"(0.6,0.7]",91,103,5.947712418300654,6.73202614379085
mobilenet_v3_small,frozen,1,7,"(0.7,0.8]",106,122,6.928104575163399,7.973856209150327
mobilenet_v3_small,frozen,1,8,"(0.8,0.9]",158,183,10.326797385620916,11.96078431372549
mobilenet_v3_small,frozen,1,9,"(0.9,1.0]",959,849,62.6797385620915,55.490196078431374
mobilenet_v3_small,frozen,2,0,"(0.0,0.1]",0,0,0.0,0.0
mobilenet_v3_small,frozen,2,1,"(0.1,0.2]",0,0,0.0,0.0
mobilenet_v3_small,frozen,2,2,"(0.2,0.3]",3,11,0.19607843137254902,0.7189542483660131
mobilenet_v3_small,frozen,2,3,"(0.3,0.4]",33,48,2.156862745098039,3.1372549019607843
mobilenet_v3_small,frozen,2,4,"(0.4,0.5]",75,114,4.901960784313726,7.450980392156863
mobilenet_v3_small,frozen,2,5,"(0.5,0.6]",95,95,6.209150326797386,6.209150326797386
mobilenet_v3_small,frozen,2,6,"(0.6,0.7]",79,102,5.163398692810458,6.666666666666667
mobilenet_v3_small,frozen,2,7,"(0.7,0.8]",94,119,6.143790849673203,7.777777777777778
mobilenet_v3_small,frozen,2,8,"(0.8,0.9]",149,193,9.738562091503267,12.61437908496732
mobilenet_v3_small,frozen,2,9,"(0.9,1.0]",1002,848,65.49019607843137,55.42483660130719
mobilenet_v3_small,frozen,3,0,"(0.0,0.1]",0,0,0.0,0.0
mobilenet_v3_small,frozen,3,1,"(0.1,0.2]",0,0,0.0,0.0
mobilenet_v3_small,frozen,3,2,"(0.2,0.3]",8,11,0.5228758169934641,0.7189542483660131
mobilenet_v3_small,frozen,3,3,"(0.3,0.4]",33,57,2.156862745098039,3.7254901960784315
mobilenet_v3_small,frozen,3,4,"(0.4,0.5]",86,98,5.620915032679738,6.405228758169935
mobilenet_v3_small,frozen,3,5,"(0.5,0.6]",100,109,6.5359477124183005,7.124183006535947
mobilenet_v3_small,frozen,3,6,"(0.6,0.7]",83,118,5.42483660130719,7.712418300653595
mobilenet_v3_small,frozen,3,7,"(0.7,0.8]",123,124,8.03921568627451,8.104575163398692
mobilenet_v3_small,frozen,3,8,"(0.8,0.9]",154,199,10.065359477124183,13.006535947712418
mobilenet_v3_small,frozen,3,9,"(0.9,1.0]",943,814,61.63398692810458,53.20261437908497
mobilenet_v3_small,finetuned,1,0,"(0.0,0.1]",0,0,0.0,0.0
mobilenet_v3_small,finetuned,1,1,"(0.1,0.2]",0,0,0.0,0.0
mobilenet_v3_small,finetuned,1,2,"(0.2,0.3]",73,25,4.771241830065359,1.6339869281045751
mobilenet_v3_small,finetuned,1,3,"(0.3,0.4]",186,119,12.156862745098039,7.777777777777778
mobilenet_v3_small,finetuned,1,4,"(0.4,0.5]",181,137,11.830065359477125,8.954248366013072
mobilenet_v3_small,finetuned,1,5,"(0.5,0.6]",197,142,12.875816993464053,9.281045751633988
mobilenet_v3_small,finetuned,1,6,"(0.6,0.7]",196,142,12.81045751633987,9.281045751633988
mobilenet_v3_small,finetuned,1,7,"(0.7,0.8]",217,180,14.183006535947712,11.764705882352942
mobilenet_v3_small,finetuned,1,8,"(0.8,0.9]",245,237,16.013071895424837,15.490196078431373
mobilenet_v3_small,finetuned,1,9,"(0.9,1.0]",235,548,15.359477124183007,35.81699346405229
mobilenet_v3_small,finetuned,2,0,"(0.0,0.1]",0,0,0.0,0.0
mobilenet_v3_small,finetuned,2,1,"(0.1,0.2]",1,0,0.06535947712418301,0.0
mobilenet_v3_small,finetuned,2,2,"(0.2,0.3]",63,25,4.117647058823529,1.6339869281045751
mobilenet_v3_small,finetuned,2,3,"(0.3,0.4]",180,106,11.764705882352942,6.928104575163399
mobilenet_v3_small,finetuned,2,4,"(0.4,0.5]",163,144,10.65359477124183,9.411764705882353
mobilenet_v3_small,finetuned,2,5,"(0.5,0.6]",175,145,11.437908496732026,9.477124183006536
mobilenet_v3_small,finetuned,2,6,"(0.6,0.7]",162,128,10.588235294117647,8.366013071895425
mobilenet_v3_small,finetuned,2,7,"(0.7,0.8]",175,139,11.437908496732026,9.084967320261438
mobilenet_v3_small,finetuned,2,8,"(0.8,0.9]",223,216,14.57516339869281,14.117647058823529
mobilenet_v3_small,finetuned,2,9,"(0.9,1.0]",388,627,25.359477124183005,40.98039215686274
mobilenet_v3_small,finetuned,3,0,"(0.0,0.1]",0,0,0.0,0.0
mobilenet_v3_small,finetuned,3,1,"(0.1,0.2]",0,0,0.0,0.0
mobilenet_v3_small,finetuned,3,2,"(0.2,0.3]",63,22,4.117647058823529,1.4379084967320261
mobilenet_v3_small,finetuned,3,3,"(0.3,0.4]",188,90,12.287581699346406,5.882352941176471
mobilenet_v3_small,finetuned,3,4,"(0.4,0.5]",210,151,13.72549019607843,9.869281045751634
mobilenet_v3_small,finetuned,3,5,"(0.5,0.6]",214,159,13.986928104575163,10.392156862745098
mobilenet_v3_small,finetuned,3,6,"(0.6,0.7]",158,142,10.326797385620916,9.281045751633988
mobilenet_v3_small,finetuned,3,7,"(0.7,0.8]",213,177,13.92156862745098,11.568627450980392
mobilenet_v3_small,finetuned,3,8,"(0.8,0.9]",229,192,14.967320261437909,12.549019607843137
mobilenet_v3_small,finetuned,3,9,"(0.9,1.0]",255,597,16.666666666666668,39.01960784313726
resnet_50,frozen,1,0,"(0.0,0.1]",0,0,0.0,0.0
resnet_50,frozen,1,1,"(0.1,0.2]",0,0,0.0,0.0
resnet_50,frozen,1,2,"(0.2,0.3]",7,14,0.45751633986928103,0.9150326797385621
resnet_50,frozen,1,3,"(0.3,0.4]",32,69,2.0915032679738563,4.509803921568627
resnet_50,frozen,1,4,"(0.4,0.5]",74,90,4.836601307189542,5.882352941176471
resnet_50,frozen,1,5,"(0.5,0.6]",83,90,5.42483660130719,5.882352941176471
resnet_50,frozen,1,6,"(0.6,0.7]",70,100,4.57516339869281,6.5359477124183005
resnet_50,frozen,1,7,"(0.7,0.8]",82,126,5.359477124183006,8.235294117647058
resnet_50,frozen,1,8,"(0.8,0.9]",132,176,8.627450980392156,11.50326797385621
resnet_50,frozen,1,9,"(0.9,1.0]",1050,865,68.62745098039215,56.5359477124183
resnet_50,frozen,2,0,"(0.0,0.1]",0,0,0.0,0.0
resnet_50,frozen,2,1,"(0.1,0.2]",0,0,0.0,0.0
resnet_50,frozen,2,2,"(0.2,0.3]",5,10,0.32679738562091504,0.6535947712418301
resnet_50,frozen,2,3,"(0.3,0.4]",29,65,1.8954248366013071,4.248366013071895
resnet_50,frozen,2,4,"(0.4,0.5]",68,111,4.444444444444445,7.254901960784314
resnet_50,frozen,2,5,"(0.5,0.6]",96,110,6.2745098039215685,7.189542483660131
resnet_50,frozen,2,6,"(0.6,0.7]",84,86,5.490196078431373,5.620915032679738
resnet_50,frozen,2,7,"(0.7,0.8]",83,96,5.42483660130719,6.2745098039215685
resnet_50,frozen,2,8,"(0.8,0.9]",110,197,7.189542483660131,12.875816993464053
resnet_50,frozen,2,9,"(0.9,1.0]",1055,855,68.95424836601308,55.88235294117647
resnet_50,frozen,3,0,"(0.0,0.1]",0,0,0.0,0.0
resnet_50,frozen,3,1,"(0.1,0.2]",0,0,0.0,0.0
resnet_50,frozen,3,2,"(0.2,0.3]",4,8,0.26143790849673204,0.5228758169934641
resnet_50,frozen,3,3,"(0.3,0.4]",32,60,2.0915032679738563,3.9215686274509802
resnet_50,frozen,3,4,"(0.4,0.5]",61,93,3.9869281045751634,6.078431372549019
resnet_50,frozen,3,5,"(0.5,0.6]",87,121,5.686274509803922,7.908496732026144
resnet_50,frozen,3,6,"(0.6,0.7]",97,100,6.339869281045751,6.5359477124183005
resnet_50,frozen,3,7,"(0.7,0.8]",92,141,6.0130718954248366,9.215686274509803
resnet_50,frozen,3,8,"(0.8,0.9]",154,194,10.065359477124183,12.679738562091503
resnet_50,frozen,3,9,"(0.9,1.0]",1003,813,65.55555555555556,53.13725490196079
resnet_50,finetuned,1,0,"(0.0,0.1]",0,0,0.0,0.0
resnet_50,finetuned,1,1,"(0.1,0.2]",0,0,0.0,0.0
resnet_50,finetuned,1,2,"(0.2,0.3]",21,21,1.3725490196078431,1.3725490196078431
resnet_50,finetuned,1,3,"(0.3,0.4]",60,71,3.9215686274509802,4.640522875816994
resnet_50,finetuned,1,4,"(0.4,0.5]",76,78,4.967320261437909,5.098039215686274
resnet_50,finetuned,1,5,"(0.5,0.6]",94,109,6.143790849673203,7.124183006535947
resnet_50,finetuned,1,6,"(0.6,0.7]",93,82,6.078431372549019,5.359477124183006
resnet_50,finetuned,1,7,"(0.7,0.8]",96,96,6.2745098039215685,6.2745098039215685
resnet_50,finetuned,1,8,"(0.8,0.9]",123,165,8.03921568627451,10.784313725490197
resnet_50,finetuned,1,9,"(0.9,1.0]",967,908,63.20261437908497,59.34640522875817
resnet_50,finetuned,2,0,"(0.0,0.1]",0,0,0.0,0.0
resnet_50,finetuned,2,1,"(0.1,0.2]",0,0,0.0,0.0
resnet_50,finetuned,2,2,"(0.2,0.3]",9,18,0.5882352941176471,1.1764705882352942
resnet_50,finetuned,2,3,"(0.3,0.4]",57,65,3.7254901960784315,4.248366013071895
resnet_50,finetuned,2,4,"(0.4,0.5]",115,117,7.516339869281046,7.647058823529412
resnet_50,finetuned,2,5,"(0.5,0.6]",84,95,5.490196078431373,6.209150326797386
resnet_50,finetuned,2,6,"(0.6,0.7]",97,91,6.339869281045751,5.947712418300654
resnet_50,finetuned,2,7,"(0.7,0.8]",79,100,5.163398692810458,6.5359477124183005
resnet_50,finetuned,2,8,"(0.8,0.9]",176,187,11.50326797385621,12.222222222222221
resnet_50,finetuned,2,9,"(0.9,1.0]",913,857,59.673202614379086,56.01307189542484
resnet_50,finetuned,3,0,"(0.0,0.1]",0,0,0.0,0.0
resnet_50,finetuned,3,1,"(0.1,0.2]",0,0,0.0,0.0
resnet_50,finetuned,3,2,"(0.2,0.3]",11,18,0.7189542483660131,1.1764705882352942
