arch,strategy,n_bins_nonempty_before,n_bins_nonempty_after,pct_in_top_bin_before,pct_in_top_bin_after
convnext_tiny,finetuned,8,8,64.42265795206971,63.355119825708066
convnext_tiny,frozen,8,8,65.90413943355121,60.370370370370374
efficientnet_b0,finetuned,8,8,46.448801742919386,59.324618736383435
efficientnet_b0,frozen,8,8,65.86056644880175,60.28322440087146
efficientnet_v2_b0,finetuned,8,8,27.516339869281044,57.58169934640523
efficientnet_v2_b0,frozen,8,8,68.64923747276688,61.525054466230934
mobilenet_v2,finetuned,8,8,57.79956427015251,54.16122004357299
mobilenet_v2,frozen,8,8,56.75381263616558,51.655773420479306
mobilenet_v3_small,finetuned,9,8,19.128540305010894,38.60566448801743
mobilenet_v3_small,frozen,8,8,63.26797385620915,54.70588235294118
nasnet_mobile,finetuned,8,8,11.132897603485839,34.16122004357299
nasnet_mobile,frozen,8,8,55.882352941176464,47.14596949891068
resnet_50,finetuned,8,8,61.328976034858385,57.10239651416122
resnet_50,frozen,8,8,67.7124183006536,55.18518518518518
