arch,strategy,seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,ece_before_mean,ece_before_std,ece_after_mean,ece_after_std,brier_before_mean,brier_before_std,brier_after_mean,brier_after_std,nll_before_mean,nll_before_std,nll_after_mean,nll_after_std,T_mean_mean,T_mean_std
convnext_tiny,finetuned,3,0.8396514161220039,0.008404052950756389,0.8377382931976974,0.009516106071432428,0.031934613573784916,0.008865791936497695,0.02871855858364397,0.010141872185734991,0.22707578462752145,0.0039233936127937834,0.22656964218231432,0.003711131718673654,0.4766112168629964,0.014680053910454646,0.4752359886964162,0.014367693606089268,1.0358191166845099,0.0024992799283649583
convnext_tiny,frozen,3,0.8270152505446617,0.003829715867374054,0.8257611562168528,0.004118385735661328,0.046117612362427375,0.006175561087952279,0.023715660443492964,0.003988853957143256,0.2461840422829559,0.0038300778174959276,0.24285428741750206,0.003639792242713774,0.5411438544591268,0.01451153589984628,0.5232857664426168,0.009935861798253766,1.1604025890315701,0.009805063129445341
efficientnet_b0,finetuned,3,0.8198257080610016,0.002947222060668561,0.8191939868908046,0.0029496961193867287,0.056012937790168395,0.008742014771327203,0.0261690550769856,0.004108655718870128,0.24975701745962497,0.0022776768701938677,0.2446623479126611,0.0034519117497017328,0.5382608970006307,0.0037700563425281117,0.5203948616981506,0.007157287411512452,0.7471875198437106,0.005748076813443564
efficientnet_b0,frozen,3,0.818518518518518,0.006579376414179265,0.8171427998236953,0.006487812675413274,0.049711865602235665,0.005447549688766986,0.0394280762324406,0.009353512994416318,0.24757473468455005,0.007883987209457082,0.24338943194936916,0.0058588805126718714,0.535035252571106,0.012527760045168621,0.5193401575088501,0.008959390434450792,1.175854909405329,0.045921904837639964
efficientnet_v2_b0,finetuned,3,0.8050108932461869,0.006177536766343288,0.8050922172152272,0.006018886213699148,0.11917743363411597,0.00383941837346517,0.03268116441817064,0.0033795392255662232,0.2847622623665962,0.009007126521578264,0.2599438588193628,0.009522977935871807,0.6267863114674886,0.020148542805658434,0.559640904267629,0.02200864861979486,0.5587283380961509,0.013487889367781237
efficientnet_v2_b0,frozen,3,0.8222222222222216,0.004081698038168873,0.8208004170859479,0.004147513269761905,0.05758448260022664,0.005732225406378057,0.03365580594098124,0.0068341069199377566,0.24966868964460764,0.005435642112828629,0.24289887723899214,0.0034719528009649566,0.5481261213620504,0.014777783053835933,0.5201532046000162,0.005589584201550427,1.2534003735638686,0.05216325107533788
mobilenet_v2,finetuned,3,0.8006535947712413,0.0068237297443860655,0.7996691721365492,0.006802712902799223,0.03613354570855242,0.0028405709333976705,0.033016097097615,0.0015755579016164677,0.26740172212541197,0.010565531623203214,0.2672058124312462,0.00927946654365769,0.5662983655929565,0.018544431695871846,0.5656440655390421,0.014902668189655953,1.0880243065690427,0.018984520147979828
mobilenet_v2,frozen,3,0.7880174291938994,0.0016448441035448328,0.7876817854307966,0.0017287231600945103,0.052164413927687,0.0044310992362480385,0.03444808024206971,0.007419358682387911,0.3003912099549481,0.00594516935965776,0.29710760573254263,0.007836768631901712,0.6356647411982218,0.015385543719192889,0.617296020189921,0.017386054203726235,1.142445251197539,0.07784453251553879
mobilenet_v3_small,finetuned,3,0.7684095860566443,0.007229045761671892,0.7662869753770415,0.00849591133918882,0.1093779095961897,0.014510682113186981,0.03361630431966843,0.010093605295381563,0.34017916756970584,0.0113473082203958,0.32402081174790665,0.008423175180072682,0.7380625406901041,0.02527386005650625,0.7069586316744486,0.018539513074997023,0.7073484591261927,0.031680723696593825
mobilenet_v3_small,frozen,3,0.8150326797385615,0.0070697083832626986,0.8150850604933804,0.007234324992322192,0.04836432581243951,0.008109550338963024,0.02520037138903582,0.0030323395848239998,0.2673639393864862,0.001451991096815208,0.26291128919120405,0.002203941977533267,0.5896591345469157,0.010334556321859326,0.56459508339564,0.009331056222563012,1.230903261895201,0.03618342178398257
nasnet_mobile,finetuned,3,0.7437908496732022,0.015369903289287366,0.7412540170574826,0.015832166134497137,0.12818094688692902,0.014854185045992306,0.029769650789907034,0.006210574110761022,0.3795160988698239,0.005612706673107846,0.35579618469004853,0.008809273662127876,0.8116368254025778,0.01144271747219879,0.7581462264060974,0.015682715483894317,0.6726588396485482,0.00782100153505924
nasnet_mobile,frozen,3,0.7858387799564266,0.006676058146424632,0.785975258854993,0.005755036464611742,0.04891650613097064,0.012905048316175238,0.018368683537886312,0.002605455082771595,0.3115300911168906,0.01004904726705578,0.30622055491391903,0.01160898643949746,0.6842551430066427,0.014645936650282057,0.6499068737030029,0.02630977981190147,1.233944610522955,0.10241398221042737
resnet_50,finetuned,3,0.8233115468409581,0.0027211320254459264,0.822319753248986,0.002759750392405447,0.02251580459489801,0.006812480977611835,0.01856731647110194,0.006484355035002974,0.24711345361635317,0.0032297738383659943,0.24565580489179853,0.0035617588259230885,0.5368678967157999,0.003880088785666849,0.5318053364753723,0.005703292465680703,1.1061767090952532,0.027936759717656988
resnet_50,frozen,3,0.820915032679738,0.00849673202614376,0.820201903316538,0.008866780185407765,0.056448406896560034,0.006510240962347719,0.029082737931239038,0.013601345474718288,0.25026047279620445,0.007395089129980831,0.24294390004552627,0.006336655015113152,0.5358610351880392,0.022936163198744215,0.5071704387664795,0.018955301768040455,1.3799841383093263,0.03799534172190083
