arch,strategy,seeds,accuracy,macro_F1,ECE_before,ECE_after,Brier_before,Brier_after,NLL_before,NLL_after,T
convnext_tiny,finetuned,3,0.8397 +/- 0.0084,0.8377 +/- 0.0095,0.0319 +/- 0.0089,0.0287 +/- 0.0101,0.2271 +/- 0.0039,0.2266 +/- 0.0037,0.4766 +/- 0.0147,0.4752 +/- 0.0144,1.036 +/- 0.002
convnext_tiny,frozen,3,0.8270 +/- 0.0038,0.8258 +/- 0.0041,0.0461 +/- 0.0062,0.0237 +/- 0.0040,0.2462 +/- 0.0038,0.2429 +/- 0.0036,0.5411 +/- 0.0145,0.5233 +/- 0.0099,1.160 +/- 0.010
efficientnet_b0,finetuned,3,0.8198 +/- 0.0029,0.8192 +/- 0.0029,0.0560 +/- 0.0087,0.0262 +/- 0.0041,0.2498 +/- 0.0023,0.2447 +/- 0.0035,0.5383 +/- 0.0038,0.5204 +/- 0.0072,0.747 +/- 0.006
efficientnet_b0,frozen,3,0.8185 +/- 0.0066,0.8171 +/- 0.0065,0.0497 +/- 0.0054,0.0394 +/- 0.0094,0.2476 +/- 0.0079,0.2434 +/- 0.0059,0.5350 +/- 0.0125,0.5193 +/- 0.0090,1.176 +/- 0.046
efficientnet_v2_b0,finetuned,3,0.8050 +/- 0.0062,0.8051 +/- 0.0060,0.1192 +/- 0.0038,0.0327 +/- 0.0034,0.2848 +/- 0.0090,0.2599 +/- 0.0095,0.6268 +/- 0.0201,0.5596 +/- 0.0220,0.559 +/- 0.013
efficientnet_v2_b0,frozen,3,0.8222 +/- 0.0041,0.8208 +/- 0.0041,0.0576 +/- 0.0057,0.0337 +/- 0.0068,0.2497 +/- 0.0054,0.2429 +/- 0.0035,0.5481 +/- 0.0148,0.5202 +/- 0.0056,1.253 +/- 0.052
mobilenet_v2,finetuned,3,0.8007 +/- 0.0068,0.7997 +/- 0.0068,0.0361 +/- 0.0028,0.0330 +/- 0.0016,0.2674 +/- 0.0106,0.2672 +/- 0.0093,0.5663 +/- 0.0185,0.5656 +/- 0.0149,1.088 +/- 0.019
mobilenet_v2,frozen,3,0.7880 +/- 0.0016,0.7877 +/- 0.0017,0.0522 +/- 0.0044,0.0344 +/- 0.0074,0.3004 +/- 0.0059,0.2971 +/- 0.0078,0.6357 +/- 0.0154,0.6173 +/- 0.0174,1.142 +/- 0.078
mobilenet_v3_small,finetuned,3,0.7684 +/- 0.0072,0.7663 +/- 0.0085,0.1094 +/- 0.0145,0.0336 +/- 0.0101,0.3402 +/- 0.0113,0.3240 +/- 0.0084,0.7381 +/- 0.0253,0.7070 +/- 0.0185,0.707 +/- 0.032
mobilenet_v3_small,frozen,3,0.8150 +/- 0.0071,0.8151 +/- 0.0072,0.0484 +/- 0.0081,0.0252 +/- 0.0030,0.2674 +/- 0.0015,0.2629 +/- 0.0022,0.5897 +/- 0.0103,0.5646 +/- 0.0093,1.231 +/- 0.036
nasnet_mobile,finetuned,3,0.7438 +/- 0.0154,0.7413 +/- 0.0158,0.1282 +/- 0.0149,0.0298 +/- 0.0062,0.3795 +/- 0.0056,0.3558 +/- 0.0088,0.8116 +/- 0.0114,0.7581 +/- 0.0157,0.673 +/- 0.008
nasnet_mobile,frozen,3,0.7858 +/- 0.0067,0.7860 +/- 0.0058,0.0489 +/- 0.0129,0.0184 +/- 0.0026,0.3115 +/- 0.0100,0.3062 +/- 0.0116,0.6843 +/- 0.0146,0.6499 +/- 0.0263,1.234 +/- 0.102
resnet_50,finetuned,3,0.8233 +/- 0.0027,0.8223 +/- 0.0028,0.0225 +/- 0.0068,0.0186 +/- 0.0065,0.2471 +/- 0.0032,0.2457 +/- 0.0036,0.5369 +/- 0.0039,0.5318 +/- 0.0057,1.106 +/- 0.028
resnet_50,frozen,3,0.8209 +/- 0.0085,0.8202 +/- 0.0089,0.0564 +/- 0.0065,0.0291 +/- 0.0136,0.2503 +/- 0.0074,0.2429 +/- 0.0063,0.5359 +/- 0.0229,0.5072 +/- 0.0190,1.380 +/- 0.038
