arch,strategy,fold0,fold1,fold2,fold3,fold4,fold_mean,fold_std,fold_spread,pooled
convnext_tiny,finetuned,0.8199693877684034,0.7961808218772863,0.8699473263051773,0.8339953484316821,0.8652589346869277,0.8370703638138954,0.0310215406274905,0.07376650442789101,0.8377382931976974
convnext_tiny,frozen,0.7837647875509638,0.815834289977356,0.8604842792508222,0.8252479496111826,0.8406452166712953,0.8251953046123239,0.028671111872973134,0.07671949169985837,0.8257611562168528
efficientnet_b0,finetuned,0.7702099235702929,0.7838867877690645,0.8363756109280894,0.8372071160773985,0.8657539679167184,0.8186866812523128,0.04010069461661747,0.0955440443464255,0.8191939868908046
efficientnet_b0,frozen,0.7763318871722472,0.7862253285696763,0.8408899658406086,0.8266691265066831,0.8480934218984814,0.8156419459975393,0.03249145122132844,0.07176153472623414,0.8171427998236953
efficientnet_v2_b0,finetuned,0.7540483630031906,0.7726291117217231,0.8272182866180593,0.8195847013092562,0.8491072363975034,0.8045175398099467,0.039669238575223795,0.09505887339431285,0.8050922172152272
efficientnet_v2_b0,frozen,0.7846702718642632,0.7980783857853747,0.8446649400449716,0.8410124258188444,0.8290876490817962,0.81950273451905,0.026739377176626455,0.05999466818070842,0.8208004170859479
mobilenet_v2,finetuned,0.7837038329371876,0.7622580625547859,0.8225781234667355,0.8099449688384723,0.8153486873729147,0.7987667350340193,0.025132998523976293,0.060320060911949636,0.7996691721365492
mobilenet_v2,frozen,0.7798804352509611,0.7628093299664941,0.8148677013193205,0.7668718091726873,0.8074579709687993,0.7863774493356525,0.02363376975432153,0.05205837135282643,0.7876817854307966
mobilenet_v3_small,finetuned,0.7669187462058057,0.7662704971126623,0.7545068141628942,0.7366183997862331,0.8033282441084612,0.7655285402752112,0.024436527228448867,0.06670984432222804,0.7662869753770415
mobilenet_v3_small,frozen,0.7759049145724305,0.789269475225621,0.8256019470306756,0.850181387620339,0.8316497080708656,0.8145214865039863,0.03088966181630755,0.07427647304790852,0.8150850604933804
nasnet_mobile,finetuned,0.7172055360593217,0.7333276133442554,0.7437099005272333,0.7494643645357718,0.7587231610378496,0.7404861151008864,0.015943816260601512,0.041517624978527956,0.7412540170574826
nasnet_mobile,frozen,0.7467933552124081,0.7902058112235625,0.8002353111629127,0.7829336645693967,0.8048561671217492,0.7850048618580059,0.023008150074167472,0.05806281190934115,0.785975258854993
resnet_50,finetuned,0.7796371143576808,0.792701490502768,0.8501656853823811,0.8318868310568753,0.8512594303295716,0.8211301103258553,0.03315268738388799,0.07162231597189084,0.822319753248986
resnet_50,frozen,0.7864355183087007,0.787259112426447,0.8410762691648482,0.8410593258108503,0.8448676803970093,0.8201395812215712,0.030432501497441047,0.05843216208830859,0.820201903316538
