arch,strategy,seed,fold,n_images,accuracy,macro_f1
convnext_tiny,finetuned,1,0,290,0.8068965517241351,0.81457714986621
convnext_tiny,finetuned,1,1,313,0.8115015974440868,0.8017604988074821
convnext_tiny,finetuned,1,2,335,0.8835820895522362,0.8800587274740429
convnext_tiny,finetuned,1,3,297,0.814814814814812,0.821761873461284
convnext_tiny,finetuned,1,4,295,0.894915254237285,0.8887776549993517
convnext_tiny,finetuned,2,0,290,0.8275862068965488,0.8316873666144783
convnext_tiny,finetuned,2,1,313,0.7923322683706044,0.7837220683422879
convnext_tiny,finetuned,2,2,335,0.8567164179104452,0.8518063170912664
convnext_tiny,finetuned,2,3,297,0.8350168350168321,0.8367639753358264
convnext_tiny,finetuned,2,4,295,0.8372881355932175,0.8298478337945903
convnext_tiny,finetuned,3,0,290,0.8103448275862041,0.8136436468245218
convnext_tiny,finetuned,3,1,313,0.8115015974440868,0.803059898482089
convnext_tiny,finetuned,3,2,335,0.8805970149253705,0.8779769343502227
convnext_tiny,finetuned,3,3,297,0.8383838383838355,0.8434601964979359
convnext_tiny,finetuned,3,4,295,0.8847457627118613,0.8771513152668412
convnext_tiny,frozen,1,0,290,0.7793103448275834,0.7880658044263865
convnext_tiny,frozen,1,1,313,0.8242811501597417,0.8148198215995509
convnext_tiny,frozen,1,2,335,0.8537313432835795,0.848431659334941
convnext_tiny,frozen,1,3,297,0.8552188552188523,0.8592487795857483
convnext_tiny,frozen,1,4,295,0.840677966101692,0.8387514396412938
convnext_tiny,frozen,2,0,290,0.7758620689655145,0.7841242832826713
convnext_tiny,frozen,2,1,313,0.8306709265175691,0.8242308208732463
convnext_tiny,frozen,2,2,335,0.8567164179104452,0.8507642920891132
convnext_tiny,frozen,2,3,297,0.7946127946127919,0.7998002023528791
convnext_tiny,frozen,2,4,295,0.8576271186440648,0.853546454060094
convnext_tiny,frozen,3,0,290,0.7689655172413766,0.7791042749438337
convnext_tiny,frozen,3,1,313,0.8178913738019142,0.8084522274592705
convnext_tiny,frozen,3,2,335,0.8865671641791018,0.8822568863284123
convnext_tiny,frozen,3,3,297,0.8114478114478086,0.8166948668949207
convnext_tiny,frozen,3,4,295,0.8338983050847428,0.829637756312498
efficientnet_b0,finetuned,1,0,290,0.7724137931034456,0.7767561914934196
efficientnet_b0,finetuned,1,1,313,0.7891373801916907,0.7804494267282952
efficientnet_b0,finetuned,1,2,335,0.8268656716417885,0.8236097763963489
efficientnet_b0,finetuned,1,3,297,0.8451178451178422,0.8528301577238349
efficientnet_b0,finetuned,1,4,295,0.8813559322033868,0.877566471589149
efficientnet_b0,finetuned,2,0,290,0.7689655172413766,0.775956929806248
efficientnet_b0,finetuned,2,1,313,0.7891373801916907,0.7797283282911844
efficientnet_b0,finetuned,2,2,335,0.8328358208955199,0.8298041180020891
efficientnet_b0,finetuned,2,3,297,0.8282828282828254,0.834786182015331
efficientnet_b0,finetuned,2,4,295,0.8779661016949122,0.8729837369606431
efficientnet_b0,finetuned,3,0,290,0.7517241379310319,0.7579166494112114
efficientnet_b0,finetuned,3,1,313,0.7987220447284319,0.7914826082877138
efficientnet_b0,finetuned,3,2,335,0.8597014925373108,0.8557129383858303
efficientnet_b0,finetuned,3,3,297,0.8181818181818153,0.8240050084930296
