arch,strategy,fold,accuracy,macro_f1
convnext_tiny,finetuned,0,0.8149425287356293,0.8199693877684034
convnext_tiny,finetuned,1,0.8051118210862592,0.7961808218772863
convnext_tiny,finetuned,2,0.8736318407960173,0.8699473263051773
convnext_tiny,finetuned,3,0.8294051627384932,0.8339953484316821
convnext_tiny,finetuned,4,0.8723163841807878,0.8652589346869277
convnext_tiny,frozen,0,0.7747126436781583,0.7837647875509638
convnext_tiny,frozen,1,0.8242811501597417,0.815834289977356
convnext_tiny,frozen,2,0.8656716417910421,0.8604842792508222
convnext_tiny,frozen,3,0.820426487093151,0.8252479496111826
convnext_tiny,frozen,4,0.8440677966101665,0.8406452166712953
efficientnet_b0,finetuned,0,0.7643678160919514,0.7702099235702929
efficientnet_b0,finetuned,1,0.7923322683706044,0.7838867877690645
efficientnet_b0,finetuned,2,0.839800995024873,0.8363756109280894
efficientnet_b0,finetuned,3,0.830527497194161,0.8372071160773985
efficientnet_b0,finetuned,4,0.8700564971751382,0.8657539679167184
efficientnet_b0,frozen,0,0.773563218390802,0.7763318871722472
efficientnet_b0,frozen,1,0.7965921192758226,0.7862253285696763
efficientnet_b0,frozen,2,0.8447761194029825,0.8408899658406086
efficientnet_b0,frozen,3,0.8215488215488187,0.8266691265066831
efficientnet_b0,frozen,4,0.8531073446327654,0.8480934218984814
efficientnet_v2_b0,finetuned,0,0.7459770114942502,0.7540483630031906
efficientnet_v2_b0,finetuned,1,0.7795527156549494,0.7726291117217231
efficientnet_v2_b0,finetuned,2,0.830845771144276,0.8272182866180593
efficientnet_v2_b0,finetuned,3,0.8125701459034764,0.8195847013092562
efficientnet_v2_b0,finetuned,4,0.8531073446327654,0.8491072363975034
efficientnet_v2_b0,frozen,0,0.7793103448275834,0.7846702718642632
efficientnet_v2_b0,frozen,1,0.8093716719914776,0.7980783857853747
efficientnet_v2_b0,frozen,2,0.84875621890547,0.8446649400449716
efficientnet_v2_b0,frozen,3,0.8361391694724999,0.8410124258188444
efficientnet_v2_b0,frozen,4,0.8338983050847428,0.8290876490817962
mobilenet_v2,finetuned,0,0.7793103448275834,0.7837038329371876
mobilenet_v2,finetuned,1,0.7678381256655992,0.7622580625547859
mobilenet_v2,finetuned,2,0.8268656716417885,0.8225781234667355
mobilenet_v2,finetuned,3,0.8069584736251375,0.8099449688384723
mobilenet_v2,finetuned,4,0.8203389830508446,0.8153486873729147
mobilenet_v2,frozen,0,0.7724137931034455,0.7798804352509611
mobilenet_v2,frozen,1,0.7689030883919038,0.7628093299664941
mobilenet_v2,frozen,2,0.8189054726368133,0.8148677013193205
mobilenet_v2,frozen,3,0.7665544332210973,0.7668718091726873
mobilenet_v2,frozen,4,0.810169491525421,0.8074579709687993
mobilenet_v3_small,finetuned,0,0.7609195402298824,0.7669187462058057
mobilenet_v3_small,finetuned,1,0.7742279020234267,0.7662704971126623
mobilenet_v3_small,finetuned,2,0.7621890547263659,0.7545068141628942
mobilenet_v3_small,finetuned,3,0.7317620650953959,0.7366183997862331
mobilenet_v3_small,finetuned,4,0.8135593220338956,0.8033282441084612
mobilenet_v3_small,frozen,0,0.7666666666666639,0.7759049145724305
mobilenet_v3_small,frozen,1,0.7997870074547365,0.789269475225621
mobilenet_v3_small,frozen,2,0.8258706467661666,0.8256019470306756
mobilenet_v3_small,frozen,3,0.8451178451178422,0.850181387620339
mobilenet_v3_small,frozen,4,0.8361581920903927,0.8316497080708656
nasnet_mobile,finetuned,0,0.7149425287356297,0.7172055360593217
nasnet_mobile,finetuned,1,0.7401490947816803,0.7333276133442554
nasnet_mobile,finetuned,2,0.7532338308457689,0.7437099005272333
nasnet_mobile,finetuned,3,0.7452300785634094,0.7494643645357718
nasnet_mobile,finetuned,4,0.763841807909602,0.7587231610378496
nasnet_mobile,frozen,0,0.7402298850574688,0.7467933552124081
nasnet_mobile,frozen,1,0.7965921192758229,0.7902058112235625
nasnet_mobile,frozen,2,0.8069651741293509,0.8002353111629127
nasnet_mobile,frozen,3,0.7755331088664396,0.7829336645693967
nasnet_mobile,frozen,4,0.8056497175141214,0.8048561671217492
resnet_50,finetuned,0,0.773563218390802,0.7796371143576808
resnet_50,finetuned,1,0.800851970181041,0.792701490502768
resnet_50,finetuned,2,0.8547263681592013,0.8501656853823811
resnet_50,finetuned,3,0.824915824915822,0.8318868310568753
resnet_50,finetuned,4,0.8587570621468897,0.8512594303295716
resnet_50,frozen,0,0.7770114942528709,0.7864355183087007
resnet_50,frozen,1,0.793397231096909,0.787259112426447
resnet_50,frozen,2,0.8467661691542263,0.8410762691648482
resnet_50,frozen,3,0.8338945005611643,0.8410593258108503
resnet_50,frozen,4,0.8508474576271157,0.8448676803970093
