epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.896,1.83984,4.4279,1.95389,0.00115,0.37778,0.11368,0.03059,2.07394,5.31495,2.7585,0.00012861,0.00012861,0.00012861
2,262.363,1.80312,4.00951,1.83093,0.00148,0.37222,0.05232,0.03029,1.7332,4.96756,2.16773,0.000266134,0.000266134,0.000266134
3,389.747,1.72582,3.29436,1.75864,0.00335,0.45,0.07524,0.02475,1.84294,4.90056,2.24861,0.000397999,0.000397999,0.000397999
4,488.175,1.64527,3.31831,1.72385,0.00342,0.48889,0.10649,0.04027,2.00797,4.95903,2.40623,0.000524206,0.000524206,0.000524206
5,586.794,1.66557,3.38763,1.78386,0.00631,0.58333,0.08588,0.03207,1.92553,5.00353,2.29048,0.000644753,0.000644753,0.000644753
6,676.131,1.60969,2.87197,1.71836,0.00325,0.6,0.20376,0.07865,2.25964,5.27241,2.44332,0.000759642,0.000759642,0.000759642
7,764.904,1.67491,3.02507,1.76762,0.73279,0.08273,0.15094,0.04712,2.18684,4.89943,2.31206,0.000868872,0.000868872,0.000868872
8,853.446,1.73165,3.11572,1.83456,0.35577,0.13005,0.19506,0.05774,2.20549,4.86451,2.38372,0.000972443,0.000972443,0.000972443
9,965.738,1.69023,2.6919,1.71161,0.43846,0.42988,0.33309,0.11924,1.76058,4.29378,2.00601,0.00107036,0.00107036,0.00107036
10,1118.27,1.62972,2.86658,1.68912,0.60194,0.30698,0.34872,0.12269,2.12494,4.29422,2.58487,0.00116261,0.00116261,0.00116261
11,1236.33,1.61457,2.66138,1.60755,0.43605,0.35339,0.28702,0.09263,2.26863,4.25985,3.01472,0.00114606,0.00114606,0.00114606
12,1333.84,1.62779,2.36593,1.60544,0.34483,0.35597,0.27615,0.08197,2.24793,4.05793,2.58122,0.00111776,0.00111776,0.00111776
13,1433.69,1.69351,2.49303,1.65554,0.53056,0.30787,0.31804,0.12501,2.43093,4.50189,2.7318,0.00108947,0.00108947,0.00108947
